"","Breeding_culture","Experiment","ID_cosm","Time","Nb_ind_measurement","Nb_ind","Status","Weight_tot","Cocoons","Cocoons_ind","Reproduction","Environment","Food","Soil","Soil_w","WHC","Texp","Weight","ID_experiment"
"1","Mons","Bart2019_XP1_1","I_13",0,1,1,"J",7.7,0,0,0,"Soil_change",3,"Clx",400,70,15,10,"Bart2019_XP1_1"
"2","Mons","Bart2019_XP1_1","I_13",14,1,1,"J",15.8,NA,NA,NA,"Food",3,"Clx",400,70,15,21.0666666666667,"Bart2019_XP1_1"
"3","Mons","Bart2019_XP1_1","I_13",28,1,1,"J",38.2,0,0,0,"Soil_change",3,"Clx",400,70,15,46.4333333333333,"Bart2019_XP1_1"
"4","Mons","Bart2019_XP1_1","I_13",42,1,1,"J",64,NA,NA,NA,"Food",3,"Clx",400,70,15,90.6333333333333,"Bart2019_XP1_1"
"5","Mons","Bart2019_XP1_1","I_13",56,1,1,"J",160.3,0,0,0,"Soil_change",3,"Clx",400,70,15,195.433333333333,"Bart2019_XP1_1"
"6","Mons","Bart2019_XP1_1","I_13",70,1,1,"J",308.4,NA,NA,NA,"Food",3,"Clx",400,70,15,391.666666666667,"Bart2019_XP1_1"
"7","Mons","Bart2019_XP1_1","I_13",84,1,1,"J",447.6,0,0,0,"Soil_change",3,"Clx",400,70,15,536.8,"Bart2019_XP1_1"
"8","Mons","Bart2019_XP1_1","I_13",98,1,1,"A",797.8,NA,NA,NA,"Food",3,"Clx",400,70,15,835.6,"Bart2019_XP1_1"
"9","Mons","Bart2019_XP1_1","I_13",112,1,1,"A",1065,0,0,0,"Soil_change",3,"Clx",400,70,15,1117.6,"Bart2019_XP1_1"
"10","Mons","Bart2019_XP1_1","I_13",126,1,1,"A",1053.4,NA,NA,NA,"Food",3,"Clx",400,70,15,1123.8,"Bart2019_XP1_1"
"11","Mons","Bart2019_XP1_1","I_13",140,1,1,"A",1185,0,0,0,"Soil_change",3,"Clx",400,70,15,1332.66666666667,"Bart2019_XP1_1"
"12","Mons","Bart2019_XP1_1","I_13",154,1,1,"A",1368,NA,NA,NA,"Food",3,"Clx",400,70,15,1337.8,"Bart2019_XP1_1"
"13","Mons","Bart2019_XP1_1","I_13",168,1,1,"A",1645,0,0,0,"Soil_change",3,"Clx",400,70,15,1778.66666666667,"Bart2019_XP1_1"
"14","Mons","Bart2019_XP1_1","I_13",182,1,1,"A",1505,NA,NA,NA,"Food",3,"Clx",400,70,15,1577.33333333333,"Bart2019_XP1_1"
"15","Mons","Bart2019_XP1_1","I_13",196,1,1,"A",1620,0,0,0,"Soil_change",3,"Clx",400,70,15,1632,"Bart2019_XP1_1"
"16","Mons","Bart2019_XP1_1","I_13",210,1,1,"A",1670,NA,NA,NA,"Food",3,"Clx",400,70,15,1772.66666666667,"Bart2019_XP1_1"
"17","Mons","Bart2019_XP1_1","I_13",224,1,1,"A",1862,0,0,0,"Soil_change",3,"Clx",400,70,15,1863.03333333333,"Bart2019_XP1_1"
"18","Mons","Bart2019_XP1_1","I_13",238,1,1,"A",2103,NA,NA,NA,"Food",3,"Clx",400,70,15,2082.66666666667,"Bart2019_XP1_1"
"19","Mons","Bart2019_XP1_1","I_13",252,1,1,"A",1720,0,0,0,"Soil_change",3,"Clx",400,70,15,2101.66666666667,"Bart2019_XP1_1"
"20","Mons","Bart2019_XP1_1","I_13",266,1,1,"A",1919,NA,NA,NA,"Food",3,"Clx",400,70,15,2241.33333333333,"Bart2019_XP1_1"
"21","Mons","Bart2019_XP1_1","I_13",280,1,1,"A",2027,0,0,0,"Soil_change",3,"Clx",400,70,15,2227.66666666667,"Bart2019_XP1_1"
"22","Mons","Bart2019_XP1_1","I_13",294,1,1,"A",2195,NA,NA,NA,"Food",3,"Clx",400,70,15,2184,"Bart2019_XP1_1"
"23","Mons","Bart2019_XP1_1","I_13",308,1,1,"A",2088,0,0,0,"Soil_change",3,"Clx",400,70,15,2208.66666666667,"Bart2019_XP1_1"
"24","Mons","Bart2019_XP1_1","I_13",322,1,1,"A",2327,NA,NA,NA,"Food",3,"Clx",400,70,15,2316,"Bart2019_XP1_1"
"25","Mons","Bart2019_XP1_1","I_13",336,1,1,"A",2540,0,0,0,"Soil_change",3,"Clx",400,70,15,2649.33333333333,"Bart2019_XP1_1"
"26","Mons","Bart2019_XP1_1","I_13",350,1,1,"A",2449,NA,NA,NA,"Food",3,"Clx",400,70,15,2722.33333333333,"Bart2019_XP1_1"
"27","Mons","Bart2019_XP1_1","I_13",364,1,1,"A",2605,0,0,0,"End",3,"Clx",400,70,15,2771.66666666667,"Bart2019_XP1_1"
"28","Mons","Bart2019_XP1_2","I_11",0,1,1,"J",14.2,0,0,0,"Soil_change",3,"Clx",400,70,15,11.8833333333333,"Bart2019_XP1_2"
"29","Mons","Bart2019_XP1_2","I_11",14,1,1,"J",39,NA,NA,NA,"Food",3,"Clx",400,70,15,25.95,"Bart2019_XP1_2"
"30","Mons","Bart2019_XP1_2","I_11",28,1,1,"J",78.2,0,0,0,"Soil_change",3,"Clx",400,70,15,52.1666666666667,"Bart2019_XP1_2"
"31","Mons","Bart2019_XP1_2","I_11",42,1,1,"J",139.4,NA,NA,NA,"Food",3,"Clx",400,70,15,89.15,"Bart2019_XP1_2"
"32","Mons","Bart2019_XP1_2","I_11",56,1,1,"J",337,0,0,0,"Soil_change",3,"Clx",400,70,15,205.166666666667,"Bart2019_XP1_2"
"33","Mons","Bart2019_XP1_2","I_11",70,1,1,"J",610,NA,NA,NA,"Food",3,"Clx",400,70,15,436.583333333333,"Bart2019_XP1_2"
"34","Mons","Bart2019_XP1_2","I_11",84,1,1,"A",740,0,0,0,"Soil_change",3,"Clx",400,70,15,533.066666666667,"Bart2019_XP1_2"
"35","Mons","Bart2019_XP1_2","I_11",98,1,1,"A",1098,NA,NA,0,"Food",3,"Clx",400,70,15,801.466666666667,"Bart2019_XP1_2"
"36","Mons","Bart2019_XP1_2","Pool_repro",112,2,2,"A",1974.04,5.334,2.667,2.667,"Soil_change",3,"Clx",400,70,15,987.02,"Bart2019_XP1_2"
"37","Mons","Bart2019_XP1_2","Pool_repro",126,2,2,"A",1896.9,NA,0,NA,"Food",3,"Clx",400,70,15,948.45,"Bart2019_XP1_2"
"38","Mons","Bart2019_XP1_2","Pool_repro",140,2,2,"A",2049,17.66,8.83,11.497,"Soil_change",3,"Clx",400,70,15,1024.5,"Bart2019_XP1_2"
"39","Mons","Bart2019_XP1_2","Pool_repro",154,2,2,"A",1908.4,NA,0,NA,"Food",3,"Clx",400,70,15,954.2,"Bart2019_XP1_2"
"40","Mons","Bart2019_XP1_2","Pool_repro",168,2,2,"A",2132,20.32,10.16,21.657,"Soil_change",3,"Clx",400,70,15,1066,"Bart2019_XP1_2"
"41","Mons","Bart2019_XP1_2","Pool_repro",182,2,2,"A",2072,NA,0,NA,"Food",3,"Clx",400,70,15,1036,"Bart2019_XP1_2"
"42","Mons","Bart2019_XP1_2","Pool_repro",196,2,2,"A",2198.7,20,10,31.657,"Soil_change",3,"Clx",400,70,15,1099.35,"Bart2019_XP1_2"
"43","Mons","Bart2019_XP1_2","Pool_repro",210,3,3,"A",3082.5,NA,0,NA,"Food",3,"Clx",400,70,15,1027.5,"Bart2019_XP1_2"
"44","Mons","Bart2019_XP1_2","Pool_repro",224,3,3,"A",3400.5,30.48,10.16,41.817,"Soil_change",3,"Clx",400,70,15,1133.5,"Bart2019_XP1_2"
"45","Mons","Bart2019_XP1_2","Pool_repro",238,3,3,"A",3435.3,NA,0,NA,"Food",3,"Clx",400,70,15,1145.1,"Bart2019_XP1_2"
"46","Mons","Bart2019_XP1_2","Pool_repro",252,3,3,"A",3375.9,35.001,11.667,53.484,"Soil_change",3,"Clx",400,70,15,1125.3,"Bart2019_XP1_2"
"47","Mons","Bart2019_XP1_2","Pool_repro",266,3,3,"A",3447.9,NA,0,NA,"Food",3,"Clx",400,70,15,1149.3,"Bart2019_XP1_2"
"48","Mons","Bart2019_XP1_2","Pool_repro",280,3,3,"A",3697.15,30.99,10.33,63.814,"Soil_change",3,"Clx",400,70,15,1232.38333333333,"Bart2019_XP1_2"
"49","Mons","Bart2019_XP1_2","Pool_repro",294,6,6,"A",6754.8,NA,0,NA,"Food",3,"Clx",400,70,15,1125.8,"Bart2019_XP1_2"
"50","Mons","Bart2019_XP1_2","Pool_repro",308,6,6,"A",7410,60,10,73.814,"Soil_change",3,"Clx",400,70,15,1235,"Bart2019_XP1_2"
"51","Mons","Bart2019_XP1_2","Pool_repro",322,6,6,"A",7029,NA,0,NA,"Food",3,"Clx",400,70,15,1171.5,"Bart2019_XP1_2"
"52","Mons","Bart2019_XP1_2","Pool_repro",336,6,6,"A",7723.8,55.002,9.167,82.981,"Soil_change",3,"Clx",400,70,15,1287.3,"Bart2019_XP1_2"
"53","Mons","Bart2019_XP1_2","Pool_repro",350,6,6,"A",7954.8,NA,0,NA,"Food",3,"Clx",400,70,15,1325.8,"Bart2019_XP1_2"
"54","Mons","Bart2019_XP1_2","Pool_repro",364,6,6,"A",8556.48,46.98,7.83,90.811,"Soil_change",3,"Clx",400,70,15,1426.08,"Bart2019_XP1_2"
"55","Mons","Bart2019_XP2","I_21",0,1,1,"J",15.8,0,0,0,"Soil_change",3,"Clx",400,70,15,12.5914285714286,"Bart2019_XP2"
"56","Mons","Bart2019_XP2","I_21",14,1,1,"J",39.8,0,0,0,"Food",3,"Clx",400,70,15,28.3857142857143,"Bart2019_XP2"
"57","Mons","Bart2019_XP2","I_21",28,1,1,"J",113,0,0,0,"Soil_change",3,"Clx",400,70,15,92.9571428571429,"Bart2019_XP2"
"58","Mons","Bart2019_XP2","I_21",42,1,1,"J",190.3,0,0,0,"Food",3,"Clx",400,70,15,152.057142857143,"Bart2019_XP2"
"59","Mons","Bart2019_XP2","I_21",56,1,1,"J",361.2,0,0,0,"Soil_change",3,"Clx",400,70,15,319.471428571429,"Bart2019_XP2"
"60","Mons","Bart2019_XP2","I_21",70,1,1,"J",459.6,0,0,0,"Food",3,"Clx",400,70,15,380.242857142857,"Bart2019_XP2"
"61","Mons","Bart2019_XP2","I_21",77,1,1,"J",650.5,0,0,0,"Soil_change",3,"Clx",400,70,15,564.657142857143,"Bart2019_XP2"
"62","Mons","Bart2019_XP2","I_21",84,1,1,"J",668,0,0,0,"Food",3,"Clx",400,70,15,596.585714285714,"Bart2019_XP2"
"63","Mons","Bart2019_XP3","I_28",0,1,1,"J",10.2,0,0,0,"Soil_change",0,"Clx",400,70,15,10.66,"Bart2019_XP3"
"64","Mons","Bart2019_XP3","I_28",14,1,1,"J",15,0,0,0,"Food",0,"Clx",400,70,15,15.34,"Bart2019_XP3"
"65","Mons","Bart2019_XP3","I_28",28,1,1,"J",16.5,0,0,0,"Soil_change",0,"Clx",400,70,15,16.32,"Bart2019_XP3"
"66","Mons","Bart2019_XP3","I_28",42,1,1,"J",15.6,0,0,0,"Food",0,"Clx",400,70,15,18.14,"Bart2019_XP3"
"67","Mons","Bart2019_XP3","I_28",56,1,1,"J",19.6,0,0,0,"Soil_change",0,"Clx",400,70,15,20.12,"Bart2019_XP3"
"68","Mons","Bart2019_XP3","I_28",70,1,1,"J",21.7,0,0,0,"Food",3,"Clx",400,70,15,23.2,"Bart2019_XP3"
"69","Mons","Bart2019_XP3","I_28",84,1,1,"J",42.5,0,0,0,"Soil_change",3,"Clx",400,70,15,51.9,"Bart2019_XP3"
"70","Mons","Bart2019_XP3","I_28",98,1,1,"J",92.5,0,0,0,"Soil_change",0,"Clx",400,70,15,111.1,"Bart2019_XP3"
"71","Mons","Bart2019_XP3","I_28",112,1,1,"J",111,0,0,0,"Soil_change",0,"Clx",400,70,15,119.92,"Bart2019_XP3"
"72","Mons","Bart2019_XP3","I_28",126,1,1,"J",118,0,0,0,"Food",0,"Clx",400,70,15,131.26,"Bart2019_XP3"
"73","Mons","Bart2019_XP3","I_28",140,1,1,"J",120,0,0,0,"Soil_change",3,"Clx",400,70,15,156.88,"Bart2019_XP3"
"74","Mons","Bart2019_XP3","I_28",154,1,1,"J",222,0,0,0,"Soil_change",0,"Clx",400,70,15,260.8,"Bart2019_XP3"
"75","Mons","Bart2019_XP3","I_28",168,1,1,"J",262,0,0,0,"Soil_change",0,"Clx",400,70,15,292.8,"Bart2019_XP3"
"76","Mons","Bart2019_XP3","I_28",182,1,1,"J",272,0,0,0,"Food",0,"Clx",400,70,15,308.6,"Bart2019_XP3"
"77","Mons","Bart2019_XP3","I_28",196,1,1,"J",352,0,0,0,"Soil_change",0,"Clx",400,70,15,377.8,"Bart2019_XP3"
"78","Mons","Bart2019_XP3","I_28",210,1,1,"J",352,0,0,0,"Food",0,"Clx",400,70,15,388.8,"Bart2019_XP3"
"79","Mons","Bart2019_XP3","I_28",233,1,1,"J",444,0,0,0,"Soil_change",0,"Clx",400,70,15,476,"Bart2019_XP3"
"80","Mons","Bart2019_XP4_1","I_3",0,1,1,"J",7.5,0,0,0,"Soil_change",1,"Clx",400,70,15,9.35,"Bart2019_XP4_1"
"81","Mons","Bart2019_XP4_1","I_3",14,1,1,"J",12.2,0,0,0,"Food",1,"Clx",400,70,15,14.8,"Bart2019_XP4_1"
"82","Mons","Bart2019_XP4_1","I_3",28,1,1,"J",29,0,0,0,"Soil_change",1,"Clx",400,70,15,36.05,"Bart2019_XP4_1"
"83","Mons","Bart2019_XP4_1","I_3",42,1,1,"J",41.8,0,0,0,"Food",1,"Clx",400,70,15,50.65,"Bart2019_XP4_1"
"84","Mons","Bart2019_XP4_1","I_3",56,1,1,"J",92.2,0,0,0,"Soil_change",1,"Clx",400,70,15,96.1,"Bart2019_XP4_1"
"85","Mons","Bart2019_XP4_1","I_3",70,1,1,"J",219,0,0,0,"Food",1,"Clx",400,70,15,217.65,"Bart2019_XP4_1"
"86","Mons","Bart2019_XP4_1","I_3",84,1,1,"J",303.9,0,0,0,"Soil_change",1,"Clx",400,70,15,293.35,"Bart2019_XP4_1"
"87","Mons","Bart2019_XP4_1","I_3",98,1,1,"J",435.3,0,0,0,"Food",1,"Clx",400,70,15,407.65,"Bart2019_XP4_1"
"88","Mons","Bart2019_XP4_1","I_3",112,1,1,"J",552,0,0,0,"Soil_change",1,"Clx",400,70,15,560,"Bart2019_XP4_1"
"89","Mons","Bart2019_XP4_1","I_3",126,1,1,"A",590,0,0,0,"Food",1,"Clx",400,70,15,599.65,"Bart2019_XP4_1"
"90","Mons","Bart2019_XP4_1","I_3",140,1,1,"A",736,0,0,0,"Soil_change",1,"Clx",400,70,15,678.4,"Bart2019_XP4_1"
"91","Mons","Bart2019_XP4_1","I_3",154,1,1,"A",831.5,0,0,0,"Food",1,"Clx",400,70,15,681,"Bart2019_XP4_1"
"92","Mons","Bart2019_XP4_1","I_3",168,1,1,"A",988,0,0,0,"Soil_change",1,"Clx",400,70,15,869,"Bart2019_XP4_1"
"93","Mons","Bart2019_XP4_1","I_3",182,1,1,"A",1007,0,0,0,"Food",1,"Clx",400,70,15,923.5,"Bart2019_XP4_1"
"94","Mons","Bart2019_XP4_1","I_3",196,1,1,"A",1064,0,0,0,"Soil_change",1,"Clx",400,70,15,1002.5,"Bart2019_XP4_1"
"95","Mons","Bart2019_XP4_1","I_3",210,1,1,"A",1120,0,0,0,"Food",1,"Clx",400,70,15,1058.8,"Bart2019_XP4_1"
"96","Mons","Bart2019_XP4_1","I_3",224,1,1,"A",1196.8,0,0,0,"Soil_change",1,"Clx",400,70,15,1162.5,"Bart2019_XP4_1"
"97","Mons","Bart2019_XP4_1","I_3",238,1,1,"A",1329,0,0,0,"Food",1,"Clx",400,70,15,1264.5,"Bart2019_XP4_1"
"98","Mons","Bart2019_XP4_1","I_3",252,1,1,"A",1456,0,0,0,"Soil_change",1,"Clx",400,70,15,1353,"Bart2019_XP4_1"
"99","Mons","Bart2019_XP4_1","I_3",266,1,1,"A",1558,0,0,0,"Food",1,"Clx",400,70,15,1470.5,"Bart2019_XP4_1"
"100","Mons","Bart2019_XP4_1","I_3",280,1,1,"A",1587,0,0,0,"Soil_change",1,"Clx",400,70,15,1537.5,"Bart2019_XP4_1"
"101","Mons","Bart2019_XP4_1","I_3",294,1,1,"A",1640,0,0,0,"Food",1,"Clx",400,70,15,1542,"Bart2019_XP4_1"
"102","Mons","Bart2019_XP4_1","I_3",308,1,1,"A",1615.4,0,0,0,"Soil_change",1,"Clx",400,70,15,1527.35,"Bart2019_XP4_1"
"103","Mons","Bart2019_XP4_1","I_3",322,1,1,"A",1790,0,0,0,"Food",1,"Clx",400,70,15,1524,"Bart2019_XP4_1"
"104","Mons","Bart2019_XP4_1","I_3",336,1,1,"A",1886,0,0,0,"Soil_change",1,"Clx",400,70,15,1723,"Bart2019_XP4_1"
"105","Mons","Bart2019_XP4_1","I_3",350,1,1,"A",1880,0,0,0,"Food",1,"Clx",400,70,15,1685,"Bart2019_XP4_1"
"106","Mons","Bart2019_XP4_1","I_3",364,1,1,"A",1954,0,0,0,"Soil_change",1,"Clx",400,70,15,1613,"Bart2019_XP4_1"
"107","Mons","Bart2019_XP4_1","I_3",378,1,1,"A",2170,0,0,0,"Food",1,"Clx",400,70,15,1936,"Bart2019_XP4_1"
"108","Mons","Bart2019_XP4_1","I_3",392,1,1,"A",1975,0,0,0,"Soil_change",1,"Clx",400,70,15,1646.5,"Bart2019_XP4_1"
"109","Mons","Bart2019_XP4_2","I_2",0,1,1,"J",7.5,0,0,0,"Soil_change",1,"Clx",400,70,15,10.7166666666667,"Bart2019_XP4_2"
"110","Mons","Bart2019_XP4_2","I_2",14,1,1,"J",10.3,0,0,0,"Food",1,"Clx",400,70,15,20.1333333333333,"Bart2019_XP4_2"
"111","Mons","Bart2019_XP4_2","I_2",28,1,1,"J",26.3,0,0,0,"Soil_change",1,"Clx",400,70,15,38.95,"Bart2019_XP4_2"
"112","Mons","Bart2019_XP4_2","I_2",42,1,1,"J",31.5,0,0,0,"Food",1,"Clx",400,70,15,56.1666666666667,"Bart2019_XP4_2"
"113","Mons","Bart2019_XP4_2","I_2",56,1,1,"J",74.1,0,0,0,"Soil_change",1,"Clx",400,70,15,98.3333333333333,"Bart2019_XP4_2"
"114","Mons","Bart2019_XP4_2","I_2",70,1,1,"J",162.3,0,0,0,"Food",1,"Clx",400,70,15,218.966666666667,"Bart2019_XP4_2"
"115","Mons","Bart2019_XP4_2","I_2",84,1,1,"J",224.2,0,0,0,"Soil_change",1,"Clx",400,70,15,301.9,"Bart2019_XP4_2"
"116","Mons","Bart2019_XP4_2","I_2",98,1,1,"J",411.6,0,0,0,"Food",1,"Clx",400,70,15,440.333333333333,"Bart2019_XP4_2"
"117","Mons","Bart2019_XP4_2","I_2",112,1,1,"J",619,0,0,0,"Soil_change",1,"Clx",400,70,15,606.933333333333,"Bart2019_XP4_2"
"118","Mons","Bart2019_XP4_2","I_2",126,1,1,"A",604.5,0,0,0,"Food",1,"Clx",400,70,15,639.525,"Bart2019_XP4_2"
"119","Mons","Bart2019_XP4_2","Pool_repro",140,2,2,"A",1307,5.6,2.8,2.8,"Soil_change",1,"Clx",400,70,15,653.5,"Bart2019_XP4_2"
"120","Mons","Bart2019_XP4_2","Pool_repro",154,2,2,"A",1304.72,NA,0,NA,"Food",1,"Clx",400,70,15,652.36,"Bart2019_XP4_2"
"121","Mons","Bart2019_XP4_2","Pool_repro",168,2,2,"A",1468.6,12.32,6.16,8.96,"Soil_change",1,"Clx",400,70,15,734.3,"Bart2019_XP4_2"
"122","Mons","Bart2019_XP4_2","Pool_repro",182,2,2,"A",1391.6,NA,0,NA,"Food",1,"Clx",400,70,15,695.8,"Bart2019_XP4_2"
